"Tonga","TON","105254"
"South Asia (IDA & IBRD)","TSA","1882531620"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1151302081"
"Trinidad and Tobago","TTO","1518147"
"Tunisia","TUN","12161723"
"Turkiye","TUR","83384680"
"Tuvalu","TUV","11069"
"Tanzania","TZA","61704518"
"Uganda","UGA","44404611"
"Ukraine","UKR","44132049"
"Upper middle income","UMC","2765716827"
"Uruguay","URY","3429086"
"United States","USA","331511512"
"Uzbekistan","UZB","34232050"
"St. Vincent and the Grenadines","VCT","104632"
"Venezuela, RB","VEN","28490453"
"British Virgin Islands","VGB","30910"
"Virgin Islands (U.S.)","VIR","106290"
"Viet Nam","VNM","96648685"
"Vanuatu","VUT","311685"
"Samoa","WSM","214929"
"Kosovo","XKX","1790133"
"Yemen, Rep.","YEM","32284046"
"South Africa","ZAF","58801927"
"Zambia","ZMB","18927715"
"Zimbabwe","ZWE","15669666"
