Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Qatar,25.5,51.25,2739268.0,2760385.0,0.17,27.15,BWh,0.1882496057061375
Romania,46.0,25.0,10440610.0,19265250.0,3.91,8.8,Dfb,0.07365888936870858
Russia,60.0,100.0,107700434.0,144073139.0,1.76,-5.35,Dfc,0.13070669677075444
Rwanda,-2.0,30.0,2291674.0,13146362.0,0.56,17.85,Aw,0.15156418030027427
Saint Kitts and Nevis,17.3333,-62.75,14694.0,47642.0,0.0,24.5,Aw,0.4044071689718341
Saint Lucia,13.8833,-61.1333,33770.0,179237.0,0.0,25.5,Af,0.37233864533801675
Saint Vincent and the Grenadines,13.25,-61.2,55488.0,104632.0,0.0,26.8,Af,0.31726065789373065
San Marino,43.7667,12.4167,33156.0,34007.0,5.81,10.9,Cfb,0.20366630746655243
Sao Tome and Principe,1.0,7.0,162568.0,218641.0,0.0,23.75,Af,0.2376975017443618
Saudi Arabia,25.0,45.0,30340882.0,35997107.0,1.38,24.65,BWh,0.12960037942055785
Senegal,14.0,-14.0,7909390.0,16436120.0,2.05,27.85,BSh,0.06361394200300297
Serbia,44.0,21.0,3894281.0,6899126.0,2.25,10.55,Cfb,0.05302370773620343
Seychelles,-4.5833,55.6667,56661.0,98462.0,0.0,27.15,Af,0.294818894100875
Sierra Leone,8.5,-11.5,3534267.0,8233970.0,3.3,26.05,Am,0.16202457230022238
Singapore,1.3667,103.8,5685807.0,5685807.0,0.05,27.5,Af,0.2449002054977851
Slovenia,46.0,15.0,1158811.0,2102419.0,3.05,8.9,Cfb,0.196471321846989
Somalia,10.0,49.0,7630345.0,16537016.0,2.83,27.05,BWh,0.16421789077208201
South Africa,-29.0,24.0,39605450.0,58801927.0,2.44,17.75,BSh,0.2154742057158477
Spain,40.0,-4.0,38276186.0,47365655.0,4.47,11.3,Csa,0.2578006399611603
Sri Lanka,7.0,81.0,4101702.0,21919000.0,0.39,26.95,Af,0.18769592183883688
Sudan,15.0,30.0,15666605.0,44440486.0,6.16,26.9,BWh,0.18676534905627123
Suriname,4.0,-56.0,401567.0,607065.0,2.11,25.7,Af,0.1856504859204185
Sweden,62.0,15.0,9108648.0,10353442.0,6.55,1.75,Dfc,0.10648008622862276
Switzerland,47.0,8.0,6384901.0,8638167.0,4.03,5.1,Cfb,0.3730037995977548
Tajikistan,39.0,71.0,2624955.0,9543207.0,0.78,6.4,Dsb,0.3605111310032804
Thailand,15.0,100.0,36759934.0,71475664.0,1.68,26.3,Aw,0.3964977685016876
Timor-Leste,-8.55,125.5167,407158.0,1299995.0,0.0,25.25,Aw,0.3144584069920876
Togo,8.0,1.1667,3613424.0,8442580.0,2.41,27.15,Aw,0.051460304506206755
Trinidad and Tobago,11.0,-61.0,807867.0,1518147.0,1.62,25.75,Am,0.33306433414143205
Tunisia,34.0,9.0,8460667.0,12161723.0,1.39,19.2,BWh,0.4970781627334144
Uganda,1.0,32.0,11080727.0,44404611.0,1.0,22.8,Am,0.385789760077002
Ukraine,49.0,32.0,30719437.0,44132049.0,2.0,8.3,Dfb,0.08547933129834796
United Arab Emirates,24.0,54.0,8084399.0,9287289.0,0.46,26.65,BWh,0.1794248061268776
United Kingdom,54.0,-2.0,56283168.0,67081234.0,3.09,8.45,Cfb,0.20659033237621469
United States,38.0,-97.0,274040676.0,331511512.0,2.91,8.55,Cfa,0.0619167402791806
Uruguay,-33.0,-56.0,3275291.0,3429086.0,2.42,17.55,Cfa,0.3721341141575624
Uzbekistan,41.0,64.0,17258430.0,34232050.0,0.83,10.05,BWk,0.14607318280988438
Venezuela,8.0,-66.0,25151087.0,28490453.0,0.83,25.35,Aw,0.14832765467233158
Vietnam,16.0,106.0,36088619.0,96648685.0,3.27,24.45,Aw,0.44813607074456663
Zambia,-15.0,30.0,8447250.0,18927715.0,2.3,21.4,Cwa,0.23283768156241086
Zimbabwe,-20.0,30.0,5052214.0,15669666.0,2.94,21.0,BSh,0.2802586697751244
