Country,Latitude,Longitude,Urban Population,Total Population,Mortality Rate,Mean temperature,Climate,Spread rate
Netherlands,52.5,5.75,16087342.0,17441500.0,6.02,9.25,Cfb,0.30570781238533684
New Zealand,-41.0,174.0,4413152.0,5090200.0,1.37,10.74,Cfb,0.42296740829405916
Nicaragua,13.0,-85.0,3986789.0,6755895.0,2.94,24.9,Am,0.7534942882199802
Niger,16.0,8.0,4045711.0,24333639.0,5.78,27.15,BWh,0.4640595575696373
Nigeria,10.0,8.0,108242753.0,208327405.0,1.91,27.0,Aw,0.14878130046380614
Norway,62.0,10.0,4463566.0,5379475.0,2.01,1.5,ET,0.3524509120568762
Oman,21.0,57.0,3919863.0,4543399.0,0.92,25.6,BWh,0.24239919233924934
Pakistan,30.0,70.0,84437669.0,227196741.0,2.09,20.2,BSh,0.25096189073880953
Panama,9.0,-80.0,2937968.0,4294396.0,2.12,25.4,Am,0.1301307544252758
Papua New Guinea,-6.0,147.0,1301089.0,9749640.0,1.33,25.25,Af,0.46065131816706756
Paraguay,-23.0,-58.0,4115703.0,6618695.0,2.04,23.55,Aw,0.2559134579651922
Peru,-10.0,-76.0,26076625.0,33304756.0,4.07,19.6,Cfb,0.09765798501490223
Philippines,13.0,122.0,53187498.0,112190977.0,1.73,25.55,Am,0.17252290825647038
Poland,52.0,20.0,22755739.0,37899070.0,2.87,7.85,Cfb,0.07360553915549675
Portugal,39.5,-8.0,6827994.0,10297081.0,2.74,12.15,Csb,0.3532360466321957
Qatar,25.5,51.25,2739268.0,2760385.0,0.17,27.15,BWh,0.23443403406426902
Romania,46.0,25.0,10440610.0,19265250.0,3.91,8.8,Dfb,0.0905252544228722
Russia,60.0,100.0,107700434.0,144073139.0,1.76,-5.35,Dfc,0.18128540105927482
Rwanda,-2.0,30.0,2291674.0,13146362.0,0.56,17.85,Aw,0.16867854246980094
Saint Kitts and Nevis,17.3333,-62.75,14694.0,47642.0,0.0,24.5,Aw,1.0
Saint Lucia,13.8833,-61.1333,33770.0,179237.0,0.0,25.5,Af,0.6724493958797381
Saint Vincent and the Grenadines,13.25,-61.2,55488.0,104632.0,0.0,26.8,Af,0.5108202055173958
San Marino,43.7667,12.4167,33156.0,34007.0,5.81,10.9,Cfb,0.22474483456533573
Sao Tome and Principe,1.0,7.0,162568.0,218641.0,0.0,23.75,Af,0.24348494355716124
Saudi Arabia,25.0,45.0,30340882.0,35997107.0,1.38,24.65,BWh,0.16578283650350645
Senegal,14.0,-14.0,7909390.0,16436120.0,2.05,27.85,BSh,0.11648237006884858
Serbia,44.0,21.0,3894281.0,6899126.0,2.25,10.55,Cfb,0.06868724097108
Seychelles,-4.5833,55.6667,56661.0,98462.0,0.0,27.15,Af,0.12567697278940884
Sierra Leone,8.5,-11.5,3534267.0,8233970.0,3.3,26.05,Am,0.22043594080966833
Singapore,1.3667,103.8,5685807.0,5685807.0,0.05,27.5,Af,0.38335835521101447
Slovenia,46.0,15.0,1158811.0,2102419.0,3.05,8.9,Cfb,0.18861795596322015
Somalia,10.0,49.0,7630345.0,16537016.0,2.83,27.05,BWh,0.1894549976538264
South Africa,-29.0,24.0,39605450.0,58801927.0,2.44,17.75,BSh,0.2646277862411041
